"","days_growing","feedint_mean","feedint_min","feedint_max","feedint_mean_mort","feedint_min_mort","feedint_max_mort","feedint_mean_mort_sstd","feedint_min_mort_sstd","feedint_max_mort_sstd"
"111","111",4.75303453252951,4.75303453252951,4.75303453252951,4.58472265026479,4.58472265026479,4.58472265026479,4.60691304961304,4.60691304961304,4.60691304961304
"126","126",5.18328872583142,5.18328872583142,5.18328872583142,4.96634643120569,4.96634643120569,4.96634643120569,4.96634643120569,4.96634643120569,4.96634643120569
"140","140",4.63041776423077,4.63041776423077,4.63041776423077,4.38334024803731,4.38334024803731,4.38334024803731,4.41929405246181,4.41929405246181,4.41929405246181
"144","144",4.31420885177641,4.31420885177641,4.31420885177641,4.20811243096904,4.20811243096904,4.20811243096904,4.24876835698843,4.24876835698843,4.24876835698843
"148","148",4.52674192898964,4.52674192898964,4.52674192898964,4.315735470936,4.315735470936,4.315735470936,4.31954293940321,4.31954293940321,4.31954293940321
"149","149",4.40353854408859,4.40353854408859,4.40353854408859,4.23066248312432,4.23066248312432,4.23066248312432,4.25911731154741,4.25911731154741,4.25911731154741
"151","151",4.2477328076671,4.08094870831126,4.42438301238865,4.07235162708669,3.88270912773612,4.2004528545164,4.09508563443347,3.91475378998156,4.2004528545164
"152","152",4.44360530898444,4.44360530898444,4.44360530898444,4.30747304806258,4.30747304806258,4.30747304806258,4.34445132745819,4.34445132745819,4.34445132745819
"153","153",4.18486400938155,4.14517622198401,4.22455179677909,4.03007197315322,3.96728082922785,4.09286311707859,4.04315933209932,3.97374763769301,4.11257102650563
"154","154",4.22361666710841,3.91182258385094,4.44315690123684,4.04967778456744,3.7267722856765,4.24420528040969,4.08791045731142,3.77196886607447,4.27608767068966
"155","155",4.33322090698054,4.13508155125797,4.50154146788329,4.13190074976145,3.8890222068273,4.33479909585976,4.14543187403881,3.90256892186135,4.37984851148462
"156","156",4.38465319801289,3.78527888301266,5.02461576863921,4.22606893209332,3.61221752439191,4.88433981563897,4.25228479734862,3.6458860848497,4.93008888972864
"157","157",4.25636422536829,3.98636397360208,4.46742052085106,4.06755442827462,3.77580240062625,4.30882867545408,4.06407439267852,3.73160953955768,4.35462819059003
"158","158",4.30659620826877,4.03091646172282,4.54963534604751,4.13964193828088,3.85720783730318,4.35059290642868,4.1678697659106,3.8935372766862,4.39333574630372
"159","159",4.29311948131711,3.83451259692353,4.717777059028,4.1167960675591,3.65189750896876,4.50764896060036,4.13246028936674,3.68834229186741,4.51932115513712
"160","160",4.27936804605558,4.06470451050317,4.4632928818418,4.09246180911441,3.85051758192196,4.27366655980475,4.11721651433523,3.84533665371203,4.29212325256693
"161","161",4.21711736473239,3.78665510654035,4.70213061801934,4.044127409467,3.62355062658708,4.52809696607399,4.06315298387077,3.66826697538137,4.56672316957217
"162","162",4.1251436004691,3.7493804747166,4.5827811919835,3.94137252923601,3.55566938637372,4.41088557179649,3.95798055860334,3.52049684781044,4.45641072898144
"163","163",4.07252495063151,3.71769782687574,4.45794843184967,3.89681013135483,3.55360050995527,4.31021090874375,3.91893531935355,3.56025756336463,4.31021090874375
"164","164",4.12638059637142,3.86875479336711,4.50406593260502,3.95015283584101,3.69528681462333,4.29465312958535,3.98242868915326,3.72949522216613,4.34014427302277
"165","165",4.08252253710085,3.65193379746139,4.53512553521467,3.9002452555094,3.45951007312779,4.35488408315252,3.92445981302974,3.48634354240872,4.34026073503736
"166","166",4.0700491151013,3.38567948000437,4.71779082339294,3.88212007569655,3.16552374872033,4.49934363673274,3.90223623859598,3.03407441689871,4.5397486015928
"167","167",4.0309683409786,3.64552085914342,4.50449463048018,3.84397740806069,3.44096400266896,4.30041522727061,3.86734786159743,3.44728156512138,4.34562008785416
"168","168",4.06532387906682,3.56250880423459,4.80270057224478,3.8815207237388,3.37274000207495,4.64453098061257,3.9053450346362,3.31078006385505,4.64453098061257
"169","169",4.01719083678884,3.66646154858786,4.45450620940935,3.8301893045643,3.44225479189681,4.25880434949153,3.85100044714396,3.44225479189681,4.28011535601465
"170","170",4.03874050645209,3.56056357566995,4.44882227198146,3.84922115575097,3.37523220874566,4.25566912766967,3.87458754072159,3.39368890150785,4.28730169538809
"171","171",4.00225194905031,3.61423843213177,4.56163607974874,3.81080289266782,3.41510116973772,4.3213031006887,3.8277141402951,3.37828591824026,4.34275965532483
"172","172",3.97807095024104,3.54134662845967,4.6848084280401,3.79076843048421,3.32936140924621,4.51122337707574,3.81173397718312,3.23318044715403,4.51122337707574
"173","173",3.93021959773012,3.53331093008199,4.36894879409146,3.73665119944532,3.28673746363084,4.14012432861735,3.76287399870674,3.26164075090574,4.17922509701174
"174","174",3.91701560517122,3.48188337648526,4.44268451509583,3.72509267825884,3.32591356788549,4.24735920385088,3.74929360761269,3.32198678347094,4.26732593785385
"175","175",3.9192931865347,3.56167159896189,4.53930139083272,3.72975839087182,3.36069529873619,4.34922873220436,3.75315113965316,3.32002406501015,4.39485205124396
"176","176",3.87349510459271,3.4578895471695,4.31537044224447,3.67795011197514,3.21349578607095,4.10432013304448,3.69696950574291,3.21707193050026,4.15003462225688
"177","177",3.89502317542178,3.42046614454889,4.42924786375615,3.70112049205236,3.19457816904,4.23592222160553,3.72272199174039,3.0889893917101,4.272808987487
"178","178",3.86469677837394,3.41417746714501,4.46424548865595,3.67417737695405,3.19641218091831,4.28821521620766,3.69726121742947,3.09164641002344,4.29445850283999
"179","179",3.79635282010648,3.31797949092087,4.28697626672385,3.60173513948947,3.10631037295684,4.08056240841273,3.62104742683167,3.04504799865218,4.12528005120695
"180","180",3.80945565680909,3.13483249212127,4.28695179083716,3.61299504559792,2.8850015635348,4.07449027181565,3.63297494788849,2.79544237675798,4.10996435546791
"181","181",3.81608930827111,3.30596959468885,4.63027415788468,3.61725930860688,3.17450680418351,4.45408481974083,3.64051402926359,3.18523225368441,4.49003183217437
"182","182",3.78558190568208,3.37179854275832,4.20836029470113,3.59096736979937,3.20515868786897,4.02901220742272,3.60862542628104,3.13483753471814,4.05789276708024
"183","183",3.76046526777455,3.34731386854599,4.28052555601142,3.55658128909668,3.18050068790739,4.08835744695022,3.57648208343114,3.14378747552382,4.13386519415931
"184","184",3.78005659027499,3.39846049116468,4.37718776538821,3.58640540117799,3.2260205473163,4.17815655490713,3.6070648811314,3.15795672890797,4.21675993306458
"185","185",3.77215193688542,3.3220725171952,4.38527324465854,3.5708795674629,3.15028992723057,4.17444920803571,3.59304412711431,3.10006969368637,4.17444920803571
"186","186",3.69777293521112,3.26943609988298,4.0605936285728,3.50161336833544,3.12851814401345,3.88114445246361,3.52352104682102,2.98772354468262,3.91730566770681
"187","187",3.71236449838801,3.24305417463238,4.22159059486944,3.51312591010745,3.0694616436053,4.00613734119272,3.53166492299045,3.08688981217655,4.05193322736856
