Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-03,England,496,360169,89,0.138
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-01,Wales,2,2212,10,0.09
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-03,Wales,3,2369,9,0.127
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-01,England,199,331341,88,0.06
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-02,England,254,298782,86,0.085
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-03,England,217,360169,89,0.06
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-01,Wales,3,2212,10,0.136
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-02,Wales,2,1861,10,0.107
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-01,England,137,331341,88,0.041
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-02,England,133,298782,86,0.045
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-03,England,164,360169,89,0.046
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-01,Wales,1,2212,10,0.045
Pigs,Total Rejection,Septic Pleurisy,2020-01,England,38,331341,88,0.011
Pigs,Total Rejection,Septic Pleurisy,2020-02,England,18,298782,86,0.006
Pigs,Total Rejection,Septic Pleurisy,2020-03,England,35,360169,89,0.01
