Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Carcases,Joint Lesion - Single,2020-09,England,3429,653925,84,0.524
Pigs,Carcases,Joint Lesion - Single,2020-07,Wales,5,2216,9,0.226
Pigs,Carcases,Joint Lesion - Single,2020-08,Wales,6,2299,9,0.261
Pigs,Carcases,Joint Lesion - Single,2020-09,Wales,10,2603,9,0.384
Pigs,Carcases,Localised Tuberculosis (suspect) *,2020-07,England,8,573524,87,0.001
Pigs,Carcases,Localised Tuberculosis (suspect) *,2020-08,England,3,531569,86,0.001
Pigs,Carcases,Localised Tuberculosis (suspect) *,2020-09,England,31,653925,84,0.005
Pigs,Carcases,Other,2020-07,England,6216,573524,87,1.084
Pigs,Carcases,Other,2020-08,England,7141,531569,86,1.343
Pigs,Carcases,Other,2020-09,England,8362,653925,84,1.279
Pigs,Carcases,Other,2020-07,Wales,4,2216,9,0.181
Pigs,Carcases,Other,2020-08,Wales,1,2299,9,0.043
Pigs,Carcases,Papular Dermatitis Like,2020-07,England,1378,573524,87,0.24
Pigs,Carcases,Papular Dermatitis Like,2020-08,England,1183,531569,86,0.223
Pigs,Carcases,Papular Dermatitis Like,2020-09,England,1459,653925,84,0.223
Pigs,Carcases,Papular Dermatitis Like,2020-07,Wales,35,2216,9,1.579
Pigs,Carcases,Papular Dermatitis Like,2020-08,Wales,18,2299,9,0.783
Pigs,Carcases,Papular Dermatitis Like,2020-09,Wales,3,2603,9,0.115
Pigs,Carcases,Pleurisy Parietal,2020-07,England,24787,573524,87,4.322
Pigs,Carcases,Pleurisy Parietal,2020-08,England,20981,531569,86,3.947
Pigs,Carcases,Pleurisy Parietal,2020-09,England,25193,653925,84,3.853
Pigs,Carcases,Pleurisy Parietal,2020-07,Wales,3,2216,9,0.135
Pigs,Carcases,Pleurisy Parietal,2020-08,Wales,1,2299,9,0.043
Pigs,Carcases,Pleurisy Parietal,2020-09,Wales,5,2603,9,0.192
Pigs,Carcases,Pleurisy Visceral,2020-07,England,3880,573524,87,0.677
Pigs,Carcases,Pleurisy Visceral,2020-08,England,4420,531569,86,0.832
Pigs,Carcases,Pleurisy Visceral,2020-09,England,4871,653925,84,0.745
Pigs,Carcases,Pleurisy Visceral,2020-07,Wales,3,2216,9,0.135
Pigs,Carcases,Tail Bite (PM),2020-07,England,2623,573524,87,0.457
Pigs,Carcases,Tail Bite (PM),2020-08,England,2315,531569,86,0.436
Pigs,Carcases,Tail Bite (PM),2020-09,England,2170,653925,84,0.332
Pigs,Carcases,Tail Bite (PM),2020-09,Wales,3,2603,9,0.115
Pigs,Offal,Abscess - Multiple,2020-07,England,201,573524,87,0.035
Pigs,Offal,Abscess - Multiple,2020-08,England,228,531569,86,0.043
Pigs,Offal,Abscess - Multiple,2020-09,England,240,653925,84,0.037
Pigs,Offal,Abscess - Single,2020-07,England,2380,573524,87,0.415
Pigs,Offal,Abscess - Single,2020-08,England,1981,531569,86,0.373
Pigs,Offal,Abscess - Single,2020-09,England,2277,653925,84,0.348
Pigs,Offal,Contamination,2020-07,England,11598,573524,87,2.022
Pigs,Offal,Contamination,2020-08,England,9517,531569,86,1.79
Pigs,Offal,Contamination,2020-09,England,10314,653925,84,1.577
Pigs,Offal,Contamination,2020-07,Wales,2,2216,9,0.09
Pigs,Offal,Contamination,2020-08,Wales,3,2299,9,0.13
Pigs,Offal,Contamination,2020-09,Wales,5,2603,9,0.192
Pigs,Offal,Endocarditis,2020-07,England,79,573524,87,0.014
Pigs,Offal,Endocarditis,2020-08,England,202,531569,86,0.038
Pigs,Offal,Endocarditis,2020-09,England,133,653925,84,0.02
Pigs,Offal,Endocarditis,2020-09,Wales,21,2603,9,0.807
Pigs,Offal,Kidney Lesions ,2020-07,England,11874,573524,87,2.07
Pigs,Offal,Kidney Lesions ,2020-08,England,10382,531569,86,1.953
Pigs,Offal,Kidney Lesions ,2020-09,England,11956,653925,84,1.828
Pigs,Offal,Kidney Lesions ,2020-07,Wales,17,2216,9,0.767
Pigs,Offal,Kidney Lesions ,2020-08,Wales,43,2299,9,1.87
Pigs,Offal,Kidney Lesions ,2020-09,Wales,37,2603,9,1.421
Pigs,Offal,Milk Spot,2020-07,England,14575,573524,87,2.541
Pigs,Offal,Milk Spot,2020-08,England,14438,531569,86,2.716
Pigs,Offal,Milk Spot,2020-09,England,15520,653925,84,2.373
Pigs,Offal,Milk Spot,2020-07,Wales,543,2216,9,24.504
Pigs,Offal,Milk Spot,2020-08,Wales,510,2299,9,22.184
Pigs,Offal,Milk Spot,2020-09,Wales,618,2603,9,23.742
Pigs,Offal,Other,2020-07,England,17751,573524,87,3.095
Pigs,Offal,Other,2020-08,England,13863,531569,86,2.608
Pigs,Offal,Other,2020-09,England,25457,653925,84,3.893
Pigs,Offal,Other,2020-07,Wales,15,2216,9,0.677
Pigs,Offal,Other,2020-08,Wales,8,2299,9,0.348
Pigs,Offal,Other,2020-09,Wales,5,2603,9,0.192
Pigs,Offal,Pericarditis,2020-07,England,19616,573524,87,3.42
Pigs,Offal,Pericarditis,2020-08,England,17385,531569,86,3.271
Pigs,Offal,Pericarditis,2020-09,England,20123,653925,84,3.077
Pigs,Offal,Pericarditis,2020-07,Wales,78,2216,9,3.52
Pigs,Offal,Pericarditis,2020-08,Wales,90,2299,9,3.915
Pigs,Offal,Pericarditis,2020-09,Wales,51,2603,9,1.959
Pigs,Offal,Peritonitis,2020-07,England,10799,573524,87,1.883
Pigs,Offal,Peritonitis,2020-08,England,10083,531569,86,1.897
Pigs,Offal,Peritonitis,2020-09,England,12384,653925,84,1.894
Pigs,Offal,Peritonitis,2020-07,Wales,6,2216,9,0.271
Pigs,Offal,Peritonitis,2020-08,Wales,3,2299,9,0.13
Pigs,Offal,Peritonitis,2020-09,Wales,8,2603,9,0.307
Pigs,Offal,Pleurisy visceral,2020-07,England,18551,573524,87,3.235
Pigs,Offal,Pleurisy visceral,2020-08,England,15306,531569,86,2.879
Pigs,Offal,Pleurisy visceral,2020-09,England,17715,653925,84,2.709
Pigs,Offal,Pleurisy visceral,2020-07,Wales,35,2216,9,1.579
Pigs,Offal,Pleurisy visceral,2020-08,Wales,28,2299,9,1.218
Pigs,Offal,Pleurisy visceral,2020-09,Wales,11,2603,9,0.423
Pigs,Offal,Pneumonia – Mild,2020-07,England,25442,573524,87,4.436
Pigs,Offal,Pneumonia – Mild,2020-08,England,25295,531569,86,4.759
Pigs,Offal,Pneumonia – Mild,2020-09,England,29479,653925,84,4.508
Pigs,Offal,Pneumonia – Mild,2020-07,Wales,89,2216,9,4.016
Pigs,Offal,Pneumonia – Mild,2020-08,Wales,59,2299,9,2.566
Pigs,Offal,Pneumonia – Mild,2020-09,Wales,114,2603,9,4.38
Pigs,Offal,Pneumonia – Severe,2020-07,England,9171,573524,87,1.599
Pigs,Offal,Pneumonia – Severe,2020-08,England,9051,531569,86,1.703
Pigs,Offal,Pneumonia – Severe,2020-09,England,9794,653925,84,1.498
Pigs,Offal,Pneumonia – Severe,2020-07,Wales,206,2216,9,9.296
Pigs,Offal,Pneumonia – Severe,2020-08,Wales,226,2299,9,9.83
Pigs,Offal,Pneumonia – Severe,2020-09,Wales,161,2603,9,6.185
Pigs,Total Rejection,Anaemia,2020-07,England,66,573524,87,0.012
Pigs,Total Rejection,Anaemia,2020-08,England,77,531569,86,0.014
Pigs,Total Rejection,Anaemia,2020-09,England,138,653925,84,0.021
Pigs,Total Rejection,Badly Bled,2020-07,England,6,573524,87,0.001
Pigs,Total Rejection,Badly Bled,2020-08,England,6,531569,86,0.001
Pigs,Total Rejection,Badly Bled,2020-09,England,5,653925,84,0.001
Pigs,Total Rejection,Contamination,2020-07,England,53,573524,87,0.009
Pigs,Total Rejection,Contamination,2020-08,England,28,531569,86,0.005
Pigs,Total Rejection,Contamination,2020-09,England,62,653925,84,0.009
Pigs,Total Rejection,Emaciation/Generalised Oedema,2020-07,England,83,573524,87,0.014
Pigs,Total Rejection,Emaciation/Generalised Oedema,2020-08,England,62,531569,86,0.012
Pigs,Total Rejection,Emaciation/Generalised Oedema,2020-09,England,119,653925,84,0.018
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2020-07,England,41,573524,87,0.007
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2020-08,England,39,531569,86,0.007
