Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-06,England,101,511153,97,0.02
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-04,England,48,533604,98,0.009
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-05,England,36,589233,98,0.006
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-06,England,30,511153,97,0.006
Pigs,AnteMortem,Suspect Fever,2019-04,England,2,533604,98,0
Pigs,AnteMortem,Suspect Fever,2019-06,England,1,511153,97,0
Pigs,AnteMortem,Tail Bite (AM),2019-04,England,1812,533604,98,0.34
Pigs,AnteMortem,Tail Bite (AM),2019-05,England,2027,589233,98,0.344
Pigs,AnteMortem,Tail Bite (AM),2019-06,England,1529,511153,97,0.299
Pigs,AnteMortem,Tail Bite (AM),2019-05,Wales,1,1971,10,0.051
Pigs,AnteMortem,Tail Bite (AM),2019-06,Wales,1,2337,11,0.043
Pigs,AnteMortem,Twisted Snout,2019-04,England,6,533604,98,0.001
Pigs,AnteMortem,Twisted Snout,2019-05,England,2,589233,98,0
Pigs,AnteMortem,Twisted Snout,2019-06,England,7,511153,97,0.001
Pigs,Carcases,Abscess - Multiple,2019-04,England,145,533604,98,0.027
Pigs,Carcases,Abscess - Multiple,2019-05,England,182,589233,98,0.031
Pigs,Carcases,Abscess - Multiple,2019-06,England,110,511153,97,0.022
Pigs,Carcases,Abscess - Single,2019-04,England,8062,533604,98,1.511
Pigs,Carcases,Abscess - Single,2019-05,England,9055,589233,98,1.537
Pigs,Carcases,Abscess - Single,2019-06,England,7578,511153,97,1.483
Pigs,Carcases,Abscess - Single,2019-04,Wales,4,2335,10,0.171
Pigs,Carcases,Abscess - Single,2019-05,Wales,5,1971,10,0.254
Pigs,Carcases,Abscess - Single,2019-06,Wales,1,2337,11,0.043
Pigs,Carcases,Contamination,2019-04,England,19206,533604,98,3.599
Pigs,Carcases,Contamination,2019-05,England,24762,589233,98,4.202
Pigs,Carcases,Contamination,2019-06,England,22071,511153,97,4.318
Pigs,Carcases,Erysipelas Skin Like,2019-04,England,207,533604,98,0.039
Pigs,Carcases,Erysipelas Skin Like,2019-05,England,348,589233,98,0.059
Pigs,Carcases,Erysipelas Skin Like,2019-06,England,338,511153,97,0.066
Pigs,Carcases,Erysipelas Skin Like,2019-05,Wales,1,1971,10,0.051
Pigs,Carcases,Fight Marks,2019-04,England,503,533604,98,0.094
Pigs,Carcases,Fight Marks,2019-05,England,680,589233,98,0.115
Pigs,Carcases,Fight Marks,2019-06,England,441,511153,97,0.086
Pigs,Carcases,Fight Marks,2019-05,Wales,1,1971,10,0.051
Pigs,Carcases,Fight Marks,2019-06,Wales,1,2337,11,0.043
Pigs,Carcases,Joint Lesion - Mulitple,2019-04,England,388,533604,98,0.073
Pigs,Carcases,Joint Lesion - Mulitple,2019-05,England,435,589233,98,0.074
Pigs,Carcases,Joint Lesion - Mulitple,2019-06,England,335,511153,97,0.066
Pigs,Carcases,Joint Lesion - Mulitple,2019-05,Wales,2,1971,10,0.101
Pigs,Carcases,Joint Lesion - Single,2019-04,England,2625,533604,98,0.492
Pigs,Carcases,Joint Lesion - Single,2019-05,England,2520,589233,98,0.428
Pigs,Carcases,Joint Lesion - Single,2019-06,England,2295,511153,97,0.449
Pigs,Carcases,Joint Lesion - Single,2019-04,Wales,6,2335,10,0.257
Pigs,Carcases,Joint Lesion - Single,2019-05,Wales,7,1971,10,0.355
Pigs,Carcases,Joint Lesion - Single,2019-06,Wales,7,2337,11,0.3
Pigs,Carcases,Other,2019-04,England,3700,533604,98,0.693
Pigs,Carcases,Other,2019-05,England,3820,589233,98,0.648
Pigs,Carcases,Other,2019-06,England,3560,511153,97,0.696
Pigs,Carcases,Other,2019-06,Wales,2,2337,11,0.086
Pigs,Carcases,Papular Dermatitis Like,2019-04,England,739,533604,98,0.138
Pigs,Carcases,Papular Dermatitis Like,2019-05,England,992,589233,98,0.168
Pigs,Carcases,Papular Dermatitis Like,2019-06,England,1392,511153,97,0.272
Pigs,Carcases,Papular Dermatitis Like,2019-04,Wales,9,2335,10,0.385
Pigs,Carcases,Papular Dermatitis Like,2019-05,Wales,1,1971,10,0.051
Pigs,Carcases,Papular Dermatitis Like,2019-06,Wales,1,2337,11,0.043
Pigs,Carcases,Pleurisy Parietal,2019-04,England,22489,533604,98,4.215
Pigs,Carcases,Pleurisy Parietal,2019-05,England,24021,589233,98,4.077
Pigs,Carcases,Pleurisy Parietal,2019-06,England,19757,511153,97,3.865
Pigs,Carcases,Pleurisy Parietal,2019-05,Wales,1,1971,10,0.051
Pigs,Carcases,Pleurisy Parietal,2019-06,Wales,1,2337,11,0.043
Pigs,Carcases,Pleurisy Visceral,2019-04,England,2961,533604,98,0.555
Pigs,Carcases,Pleurisy Visceral,2019-05,England,3649,589233,98,0.619
Pigs,Carcases,Pleurisy Visceral,2019-06,England,2439,511153,97,0.477
Pigs,Carcases,Tail Bite (PM),2019-04,England,1962,533604,98,0.368
Pigs,Carcases,Tail Bite (PM),2019-05,England,2265,589233,98,0.384
Pigs,Carcases,Tail Bite (PM),2019-06,England,1828,511153,97,0.358
Pigs,Offal,Abscess - Multiple,2019-04,England,231,533604,98,0.043
Pigs,Offal,Abscess - Multiple,2019-05,England,295,589233,98,0.05
Pigs,Offal,Abscess - Multiple,2019-06,England,217,511153,97,0.042
Pigs,Offal,Abscess - Single,2019-04,England,2037,533604,98,0.382
Pigs,Offal,Abscess - Single,2019-05,England,2307,589233,98,0.392
Pigs,Offal,Abscess - Single,2019-06,England,1765,511153,97,0.345
Pigs,Offal,Abscess - Single,2019-04,Wales,1,2335,10,0.043
Pigs,Offal,Abscess - Single,2019-05,Wales,2,1971,10,0.101
Pigs,Offal,Abscess - Single,2019-06,Wales,1,2337,11,0.043
Pigs,Offal,Contamination,2019-04,England,8132,533604,98,1.524
Pigs,Offal,Contamination,2019-05,England,9750,589233,98,1.655
Pigs,Offal,Contamination,2019-06,England,6936,511153,97,1.357
Pigs,Offal,Contamination,2019-04,Wales,7,2335,10,0.3
