Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-04,England,133,432312,86,0.031
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-05,England,101,314527,86,0.032
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-06,England,304,437734,85,0.069
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-04,Wales,4,1745,9,0.229
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-05,Wales,3,1803,9,0.166
Pigs,AnteMortem,Dead in Lairage ,2020-04,England,7,432312,86,0.002
Pigs,AnteMortem,Dead in Lairage ,2020-04,England,6,432312,86,0.001
Pigs,AnteMortem,Dead in Lairage ,2020-05,England,9,314527,86,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-05,England,6,314527,86,0.002
Pigs,AnteMortem,Dead in Lairage ,2020-06,England,14,437734,85,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-06,England,9,437734,85,0.002
Pigs,AnteMortem,Dead on Arrival,2020-04,England,32,432312,86,0.007
Pigs,AnteMortem,Dead on Arrival,2020-04,England,44,432312,86,0.01
Pigs,AnteMortem,Dead on Arrival,2020-05,England,24,314527,86,0.008
Pigs,AnteMortem,Dead on Arrival,2020-05,England,11,314527,86,0.003
Pigs,AnteMortem,Dead on Arrival,2020-06,England,25,437734,85,0.006
Pigs,AnteMortem,Dead on Arrival,2020-06,England,37,437734,85,0.008
Pigs,AnteMortem,Distress,2020-04,England,16,432312,86,0.004
Pigs,AnteMortem,Distress,2020-05,England,10,314527,86,0.003
Pigs,AnteMortem,Distress,2020-05,England,2,314527,86,0.001
Pigs,AnteMortem,Distress,2020-06,England,4,437734,85,0.001
Pigs,AnteMortem,Distress,2020-06,England,29,437734,85,0.007
Pigs,AnteMortem,Fight/Bite Wounds,2020-04,England,1753,432312,86,0.405
Pigs,AnteMortem,Fight/Bite Wounds,2020-05,England,751,314527,86,0.239
Pigs,AnteMortem,Fight/Bite Wounds,2020-06,England,1678,437734,85,0.383
Pigs,AnteMortem,Hernia/Rupture,2020-04,England,947,432312,86,0.219
Pigs,AnteMortem,Hernia/Rupture,2020-05,England,654,314527,86,0.208
Pigs,AnteMortem,Hernia/Rupture,2020-06,England,1055,437734,85,0.241
