Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2017-10,England,471,404780,104,0.116
Pigs,AnteMortem,Abnormal Respiratory Signs,2017-11,England,515,492571,105,0.105
Pigs,AnteMortem,Abnormal Respiratory Signs,2017-12,England,640,388113,104,0.165
Pigs,AnteMortem,Abnormal Respiratory Signs,2017-10,Wales,2,2671,12,0.075
Pigs,AnteMortem,Abnormal Respiratory Signs,2017-11,Wales,5,2712,12,0.184
Pigs,AnteMortem,Abnormal Respiratory Signs,2017-12,Wales,8,2338,12,0.342
Pigs,AnteMortem,Bloody Diarrhoea,2017-10,England,1,404780,104,0
Pigs,AnteMortem,Bloody Diarrhoea,2017-11,England,1,492571,105,0
Pigs,AnteMortem,Dead in Lairage ,2017-10,England,22,404780,104,0.005
Pigs,AnteMortem,Dead in Lairage ,2017-11,England,38,492571,105,0.008
Pigs,AnteMortem,Dead in Lairage ,2017-12,England,21,388113,104,0.005
Pigs,AnteMortem,Dead on Arrival,2017-10,England,49,404780,104,0.012
Pigs,AnteMortem,Dead on Arrival,2017-11,England,34,492571,105,0.007
Pigs,AnteMortem,Dead on Arrival,2017-12,England,58,388113,104,0.015
Pigs,AnteMortem,Dead on Arrival,2017-10,Wales,2,2671,12,0.075
Pigs,AnteMortem,Distress,2017-10,England,10,404780,104,0.002
Pigs,AnteMortem,Distress,2017-11,England,31,492571,105,0.006
Pigs,AnteMortem,Distress,2017-12,England,21,388113,104,0.005
Pigs,AnteMortem,Fight/Bite Wounds,2017-10,England,359,404780,104,0.089
Pigs,AnteMortem,Fight/Bite Wounds,2017-11,England,445,492571,105,0.09
Pigs,AnteMortem,Fight/Bite Wounds,2017-12,England,333,388113,104,0.086
Pigs,AnteMortem,Fight/Bite Wounds,2017-10,Wales,1,2671,12,0.037
Pigs,AnteMortem,Fight/Bite Wounds,2017-12,Wales,2,2338,12,0.086
Pigs,AnteMortem,Hernia/Rupture,2017-10,England,914,404780,104,0.226
Pigs,AnteMortem,Hernia/Rupture,2017-11,England,1012,492571,105,0.205
Pigs,AnteMortem,Hernia/Rupture,2017-12,England,995,388113,104,0.256
Pigs,AnteMortem,Hernia/Rupture,2017-10,Wales,11,2671,12,0.412
Pigs,AnteMortem,Hernia/Rupture,2017-11,Wales,5,2712,12,0.184
Pigs,AnteMortem,Hernia/Rupture,2017-12,Wales,19,2338,12,0.813
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2017-10,England,51,404780,104,0.013
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2017-11,England,102,492571,105,0.021
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2017-12,England,82,388113,104,0.021
Pigs,AnteMortem,Lameness ??? Foot Lesion(s),2017-12,Wales,2,2338,12,0.086
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-10,England,137,404780,104,0.034
Pigs,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-11,England,155,492571,105,0.031
