Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Skin Condition,2018-09,England,227,384442,98,0.059
Pigs,AnteMortem,Skin Condition,2018-07,Wales,1,2512,11,0.04
Pigs,AnteMortem,Slaughtered in Lairage ? Intended for HC,2018-07,England,49,320195,98,0.015
Pigs,AnteMortem,Slaughtered in Lairage ? Intended for HC,2018-08,England,88,449375,98,0.02
Pigs,AnteMortem,Slaughtered in Lairage ? Intended for HC,2018-09,England,71,384442,98,0.018
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2018-07,England,44,320195,98,0.014
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2018-08,England,123,449375,98,0.027
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2018-09,England,62,384442,98,0.016
Pigs,AnteMortem,Suspect Fever,2018-09,England,1,384442,98,0
Pigs,AnteMortem,Suspect Notifiable Diseases ,2018-09,England,1,384442,98,0
Pigs,AnteMortem,Tail Bite (AM),2018-07,England,792,320195,98,0.247
Pigs,AnteMortem,Tail Bite (AM),2018-08,England,1067,449375,98,0.237
Pigs,AnteMortem,Tail Bite (AM),2018-09,England,896,384442,98,0.233
Pigs,AnteMortem,Tail Bite (AM),2018-07,Wales,5,2512,11,0.199
Pigs,AnteMortem,Tail Bite (AM),2018-08,Wales,1,2400,12,0.042
Pigs,AnteMortem,Twisted Snout,2018-07,England,1,320195,98,0
Pigs,AnteMortem,Twisted Snout,2018-08,England,2,449375,98,0
Pigs,AnteMortem,Twisted Snout,2018-09,England,11,384442,98,0.003
Pigs,Carcases,Abscess - Multiple,2018-07,England,186,320195,98,0.058
Pigs,Carcases,Abscess - Multiple,2018-08,England,210,449375,98,0.047
Pigs,Carcases,Abscess - Multiple,2018-09,England,184,384442,98,0.048
Pigs,Carcases,Abscess - Multiple,2018-09,Wales,1,2319,11,0.043
Pigs,Carcases,Abscess - Single,2018-07,England,3501,320195,98,1.093
Pigs,Carcases,Abscess - Single,2018-08,England,4775,449375,98,1.063
Pigs,Carcases,Abscess - Single,2018-09,England,3722,384442,98,0.968
Pigs,Carcases,Abscess - Single,2018-07,Wales,5,2512,11,0.199
Pigs,Carcases,Abscess - Single,2018-08,Wales,3,2400,12,0.125
Pigs,Carcases,Abscess - Single,2018-09,Wales,7,2319,11,0.302
Pigs,Carcases,Contamination,2018-07,England,6991,320195,98,2.183
Pigs,Carcases,Contamination,2018-08,England,11354,449375,98,2.527
Pigs,Carcases,Contamination,2018-09,England,8636,384442,98,2.246
Pigs,Carcases,Erysipelas Skin Like,2018-07,England,178,320195,98,0.056
Pigs,Carcases,Erysipelas Skin Like,2018-08,England,331,449375,98,0.074
Pigs,Carcases,Erysipelas Skin Like,2018-09,England,223,384442,98,0.058
Pigs,Carcases,Fight Marks,2018-07,England,483,320195,98,0.151
Pigs,Carcases,Fight Marks,2018-08,England,611,449375,98,0.136
Pigs,Carcases,Fight Marks,2018-09,England,573,384442,98,0.149
Pigs,Carcases,Fight Marks,2018-09,Wales,3,2319,11,0.129
Pigs,Carcases,Joint Lesion - Mulitple,2018-07,England,550,320195,98,0.172
Pigs,Carcases,Joint Lesion - Mulitple,2018-08,England,629,449375,98,0.14
Pigs,Carcases,Joint Lesion - Mulitple,2018-09,England,548,384442,98,0.143
Pigs,Carcases,Joint Lesion - Mulitple,2018-08,Wales,1,2400,12,0.042
Pigs,Carcases,Joint Lesion - Mulitple,2018-09,Wales,1,2319,11,0.043
Pigs,Carcases,Joint Lesion - Single,2018-07,England,1886,320195,98,0.589
Pigs,Carcases,Joint Lesion - Single,2018-08,England,2294,449375,98,0.51
Pigs,Carcases,Joint Lesion - Single,2018-09,England,1866,384442,98,0.485
Pigs,Carcases,Joint Lesion - Single,2018-07,Wales,11,2512,11,0.438
Pigs,Carcases,Joint Lesion - Single,2018-08,Wales,2,2400,12,0.083
Pigs,Carcases,Joint Lesion - Single,2018-09,Wales,5,2319,11,0.216
Pigs,Carcases,Other,2018-07,England,1746,320195,98,0.545
Pigs,Carcases,Other,2018-08,England,3422,449375,98,0.762
Pigs,Carcases,Other,2018-09,England,2680,384442,98,0.697
Pigs,Carcases,Other,2018-07,Wales,1,2512,11,0.04
Pigs,Carcases,Other,2018-09,Wales,1,2319,11,0.043
Pigs,Carcases,Papular Dermatitis Like,2018-07,England,727,320195,98,0.227
Pigs,Carcases,Papular Dermatitis Like,2018-08,England,663,449375,98,0.148
Pigs,Carcases,Papular Dermatitis Like,2018-09,England,510,384442,98,0.133
Pigs,Carcases,Papular Dermatitis Like,2018-07,Wales,2,2512,11,0.08
Pigs,Carcases,Papular Dermatitis Like,2018-08,Wales,2,2400,12,0.083
Pigs,Carcases,Papular Dermatitis Like,2018-09,Wales,3,2319,11,0.129
Pigs,Carcases,Pleurisy Parietal,2018-07,England,15796,320195,98,4.933
Pigs,Carcases,Pleurisy Parietal,2018-08,England,19805,449375,98,4.407
Pigs,Carcases,Pleurisy Parietal,2018-09,England,17184,384442,98,4.47
Pigs,Carcases,Pleurisy Parietal,2018-07,Wales,1,2512,11,0.04
Pigs,Carcases,Pleurisy Parietal,2018-09,Wales,2,2319,11,0.086
Pigs,Carcases,Pleurisy Visceral,2018-07,England,1184,320195,98,0.37
Pigs,Carcases,Pleurisy Visceral,2018-08,England,4519,449375,98,1.006
Pigs,Carcases,Pleurisy Visceral,2018-09,England,2019,384442,98,0.525
Pigs,Carcases,Pleurisy Visceral,2018-07,Wales,5,2512,11,0.199
Pigs,Carcases,Pleurisy Visceral,2018-08,Wales,2,2400,12,0.083
Pigs,Carcases,Pleurisy Visceral,2018-09,Wales,1,2319,11,0.043
Pigs,Carcases,Tail Bite (PM),2018-07,England,968,320195,98,0.302
Pigs,Carcases,Tail Bite (PM),2018-08,England,2085,449375,98,0.464
Pigs,Carcases,Tail Bite (PM),2018-09,England,1067,384442,98,0.278
Pigs,Offal,Abscess - Multiple,2018-07,England,359,320195,98,0.112
Pigs,Offal,Abscess - Multiple,2018-08,England,235,449375,98,0.052
Pigs,Offal,Abscess - Multiple,2018-09,England,218,384442,98,0.057
Pigs,Offal,Abscess - Multiple,2018-08,Wales,1,2400,12,0.042
Pigs,Offal,Abscess - Multiple,2018-09,Wales,2,2319,11,0.086
Pigs,Offal,Abscess - Single,2018-07,England,819,320195,98,0.256
Pigs,Offal,Abscess - Single,2018-08,England,1067,449375,98,0.237
Pigs,Offal,Abscess - Single,2018-09,England,780,384442,98,0.203
Pigs,Offal,Abscess - Single,2018-07,Wales,1,2512,11,0.04
Pigs,Offal,Abscess - Single,2018-08,Wales,4,2400,12,0.167
Pigs,Offal,Abscess - Single,2018-09,Wales,1,2319,11,0.043
Pigs,Offal,Contamination,2018-07,England,4929,320195,98,1.539
Pigs,Offal,Contamination,2018-08,England,8539,449375,98,1.9
Pigs,Offal,Contamination,2018-09,England,6967,384442,98,1.812
Pigs,Offal,Contamination,2018-07,Wales,2,2512,11,0.08
Pigs,Offal,Contamination,2018-08,Wales,7,2400,12,0.292
Pigs,Offal,Contamination,2018-09,Wales,6,2319,11,0.259
Pigs,Offal,Endocarditis,2018-07,England,57,320195,98,0.018
Pigs,Offal,Endocarditis,2018-08,England,60,449375,98,0.013
Pigs,Offal,Endocarditis,2018-09,England,71,384442,98,0.018
Pigs,Offal,Endocarditis,2018-07,Wales,7,2512,11,0.279
Pigs,Offal,Endocarditis,2018-08,Wales,3,2400,12,0.125
Pigs,Offal,Kidney Lesions ,2018-07,England,8559,320195,98,2.673
Pigs,Offal,Kidney Lesions ,2018-08,England,9228,449375,98,2.054
Pigs,Offal,Kidney Lesions ,2018-09,England,8164,384442,98,2.124
Pigs,Offal,Kidney Lesions ,2018-07,Wales,27,2512,11,1.075
Pigs,Offal,Kidney Lesions ,2018-08,Wales,45,2400,12,1.875
Pigs,Offal,Kidney Lesions ,2018-09,Wales,40,2319,11,1.725
Pigs,Offal,Milk Spot,2018-07,England,9714,320195,98,3.034
Pigs,Offal,Milk Spot,2018-08,England,15779,449375,98,3.511
Pigs,Offal,Milk Spot,2018-09,England,13090,384442,98,3.405
Pigs,Offal,Milk Spot,2018-07,Wales,549,2512,11,21.855
Pigs,Offal,Milk Spot,2018-08,Wales,586,2400,12,24.417
Pigs,Offal,Milk Spot,2018-09,Wales,528,2319,11,22.768
Pigs,Offal,Other,2018-07,England,564,320195,98,0.176
Pigs,Offal,Other,2018-08,England,752,449375,98,0.167
Pigs,Offal,Other,2018-09,England,858,384442,98,0.223
Pigs,Offal,Other,2018-07,Wales,10,2512,11,0.398
Pigs,Offal,Other,2018-08,Wales,3,2400,12,0.125
Pigs,Offal,Other,2018-09,Wales,14,2319,11,0.604
Pigs,Offal,Pericarditis,2018-07,England,12333,320195,98,3.852
Pigs,Offal,Pericarditis,2018-08,England,18796,449375,98,4.183
Pigs,Offal,Pericarditis,2018-09,England,14205,384442,98,3.695
Pigs,Offal,Pericarditis,2018-07,Wales,84,2512,11,3.344
