Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-10,England,370,366969,91,0.101
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-11,England,386,341399,92,0.113
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-12,England,426,326926,90,0.13
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-11,Wales,1,2392,11,0.042
Pigs,AnteMortem,Abnormal Respiratory Signs,2019-12,Wales,11,2586,9,0.425
Pigs,AnteMortem,Dead in Lairage ,2019-10,England,19,366969,91,0.005
Pigs,AnteMortem,Dead in Lairage ,2019-10,England,16,366969,91,0.004
Pigs,AnteMortem,Dead in Lairage ,2019-11,England,18,341399,92,0.005
Pigs,AnteMortem,Dead in Lairage ,2019-11,England,18,341399,92,0.005
Pigs,AnteMortem,Dead in Lairage ,2019-12,England,15,326926,90,0.005
Pigs,AnteMortem,Dead in Lairage ,2019-12,England,12,326926,90,0.004
Pigs,AnteMortem,Dead on Arrival,2019-10,England,23,366969,91,0.006
Pigs,AnteMortem,Dead on Arrival,2019-10,England,25,366969,91,0.007
Pigs,AnteMortem,Dead on Arrival,2019-11,England,23,341399,92,0.007
Pigs,AnteMortem,Dead on Arrival,2019-11,England,16,341399,92,0.005
Pigs,AnteMortem,Dead on Arrival,2019-12,England,19,326926,90,0.006
Pigs,AnteMortem,Dead on Arrival,2019-12,England,21,326926,90,0.006
Pigs,AnteMortem,Distress,2019-10,England,1,366969,91,0
Pigs,AnteMortem,Distress,2019-10,England,9,366969,91,0.002
Pigs,AnteMortem,Distress,2019-11,England,11,341399,92,0.003
Pigs,AnteMortem,Distress,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Distress,2019-12,England,5,326926,90,0.002
Pigs,AnteMortem,Fight/Bite Wounds,2019-10,England,475,366969,91,0.129
Pigs,AnteMortem,Fight/Bite Wounds,2019-11,England,399,341399,92,0.117
Pigs,AnteMortem,Fight/Bite Wounds,2019-12,England,143,326926,90,0.044
Pigs,AnteMortem,Fight/Bite Wounds,2019-12,Wales,7,2586,9,0.271
Pigs,AnteMortem,Hernia/Rupture,2019-10,England,666,366969,91,0.181
Pigs,AnteMortem,Hernia/Rupture,2019-11,England,616,341399,92,0.18
Pigs,AnteMortem,Hernia/Rupture,2019-12,England,615,326926,90,0.188
Pigs,AnteMortem,Hernia/Rupture,2019-10,Wales,2,2202,10,0.091
Pigs,AnteMortem,Hernia/Rupture,2019-11,Wales,2,2392,11,0.084
Pigs,AnteMortem,Hernia/Rupture,2019-12,Wales,4,2586,9,0.155
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-10,England,50,366969,91,0.014
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-11,England,55,341399,92,0.016
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-12,England,50,326926,90,0.015
Pigs,AnteMortem,Lameness – Foot Lesion(s),2019-12,Wales,1,2586,9,0.039
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-10,England,103,366969,91,0.028
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-11,England,2,341399,92,0.001
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-11,England,89,341399,92,0.026
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-12,England,108,326926,90,0.033
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-11,Wales,1,2392,11,0.042
Pigs,AnteMortem,Lameness – Not Defined,2019-10,England,188,366969,91,0.051
Pigs,AnteMortem,Lameness – Not Defined,2019-11,England,181,341399,92,0.053
Pigs,AnteMortem,Lameness – Not Defined,2019-12,England,218,326926,90,0.067
Pigs,AnteMortem,Lameness – Not Defined,2019-10,Wales,3,2202,10,0.136
Pigs,AnteMortem,Lameness – Not Defined,2019-11,Wales,4,2392,11,0.167
Pigs,AnteMortem,Localised Swelling/Lumps,2019-10,England,486,366969,91,0.132
Pigs,AnteMortem,Localised Swelling/Lumps,2019-11,England,381,341399,92,0.112
Pigs,AnteMortem,Localised Swelling/Lumps,2019-12,England,280,326926,90,0.086
Pigs,AnteMortem,Localised Swelling/Lumps,2019-11,Wales,1,2392,11,0.042
Pigs,AnteMortem,Mastitis,2019-10,England,28,366969,91,0.008
Pigs,AnteMortem,Mastitis,2019-11,England,20,341399,92,0.006
Pigs,AnteMortem,Mastitis,2019-12,England,18,326926,90,0.006
Pigs,AnteMortem,Moribund/Recumbent,2019-10,England,1,366969,91,0
Pigs,AnteMortem,Moribund/Recumbent,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Open Wound,2019-10,England,2,366969,91,0.001
Pigs,AnteMortem,Open Wound,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Open Wound,2019-12,England,1,326926,90,0
Pigs,AnteMortem,Orchitis,2019-10,England,5,366969,91,0.001
Pigs,AnteMortem,Orchitis,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Orchitis,2019-12,England,2,326926,90,0.001
Pigs,AnteMortem,Other ,2019-10,England,5,366969,91,0.001
Pigs,AnteMortem,Other ,2019-10,England,139,366969,91,0.038
Pigs,AnteMortem,Other ,2019-11,England,76,341399,92,0.022
Pigs,AnteMortem,Other ,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Other ,2019-12,England,133,326926,90,0.041
Pigs,AnteMortem,Other ,2019-12,England,2,326926,90,0.001
Pigs,AnteMortem,Rectal Prolapse,2019-10,England,29,366969,91,0.008
Pigs,AnteMortem,Rectal Prolapse,2019-11,England,37,341399,92,0.011
Pigs,AnteMortem,Rectal Prolapse,2019-12,England,36,326926,90,0.011
Pigs,AnteMortem,Skin Condition,2019-10,England,58,366969,91,0.016
Pigs,AnteMortem,Skin Condition,2019-11,England,45,341399,92,0.013
Pigs,AnteMortem,Skin Condition,2019-12,England,42,326926,90,0.013
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-10,England,9,366969,91,0.002
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-10,England,47,366969,91,0.013
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-11,England,41,341399,92,0.012
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-11,England,9,341399,92,0.003
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-12,England,27,326926,90,0.008
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2019-12,England,2,326926,90,0.001
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-10,England,8,366969,91,0.002
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-10,England,24,366969,91,0.007
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-11,England,29,341399,92,0.008
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-11,England,3,341399,92,0.001
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-12,England,41,326926,90,0.013
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2019-12,England,9,326926,90,0.003
Pigs,AnteMortem,Suspect Fever,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Suspect Fever,2019-11,England,1,341399,92,0
Pigs,AnteMortem,Suspect Fever,2019-12,England,5,326926,90,0.002
Pigs,AnteMortem,Tail Bite (AM),2019-10,England,1594,366969,91,0.434
Pigs,AnteMortem,Tail Bite (AM),2019-11,England,1694,341399,92,0.496
Pigs,AnteMortem,Tail Bite (AM),2019-11,England,1,341399,92,0
Pigs,AnteMortem,Tail Bite (AM),2019-12,England,1141,326926,90,0.349
Pigs,AnteMortem,Tail Bite (AM),2019-12,England,1,326926,90,0
Pigs,AnteMortem,Tail Bite (AM),2019-12,Wales,1,2586,9,0.039
Pigs,AnteMortem,Twisted Snout,2019-10,England,1,366969,91,0
Pigs,AnteMortem,Twisted Snout,2019-12,England,1,326926,90,0
Pigs,Carcases,Abscess - Multiple,2019-10,England,185,366969,91,0.05
Pigs,Carcases,Abscess - Multiple,2019-11,England,169,341399,92,0.05
Pigs,Carcases,Abscess - Multiple,2019-12,England,118,326926,90,0.036
Pigs,Carcases,Abscess - Single,2019-10,England,3539,366969,91,0.964
Pigs,Carcases,Abscess - Single,2019-11,England,3624,341399,92,1.062
Pigs,Carcases,Abscess - Single,2019-12,England,3304,326926,90,1.011
Pigs,Carcases,Abscess - Single,2019-10,Wales,3,2202,10,0.136
Pigs,Carcases,Abscess - Single,2019-12,Wales,7,2586,9,0.271
Pigs,Carcases,Contamination,2019-10,England,8072,366969,91,2.2
Pigs,Carcases,Contamination,2019-11,England,9655,341399,92,2.828
Pigs,Carcases,Contamination,2019-12,England,7240,326926,90,2.215
Pigs,Carcases,Contamination,2019-12,Wales,1,2586,9,0.039
Pigs,Carcases,Erysipelas Skin Like,2019-10,England,144,366969,91,0.039
Pigs,Carcases,Erysipelas Skin Like,2019-11,England,330,341399,92,0.097
Pigs,Carcases,Erysipelas Skin Like,2019-12,England,117,326926,90,0.036
Pigs,Carcases,Erysipelas Skin Like,2019-12,Wales,2,2586,9,0.077
Pigs,Carcases,Exotic Notifiable Disease (suspect) *,2019-12,Wales,1,2586,9,0.039
