production_system,group,age_group,sex,ahle_component,cause,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,Infectious,,5379813.819476883,128834.35911170037,5127298.47561795,5632329.163335816,0.002999910111918167,29.06975,185065.70642942862,,176379.17338876153,193752.23947009575,4431.90461258526
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,Non-infectious,,5379813.819476883,128834.35911170037,5127298.47561795,5632329.163335816,0.002999910111918167,29.06975,185065.70642942862,,176379.17338876153,193752.23947009575,4431.90461258526
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,External,,5379813.819476883,128834.35911170037,5127298.47561795,5632329.163335816,0.002999910111918167,29.06975,185065.70642942862,,176379.17338876153,193752.23947009575,4431.90461258526
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,Infectious,,6947673.145491703,198523.2133982827,6558567.647231069,7336778.643752337,0.003874185171242508,29.06975,239000.09960497436,,225614.86243366625,252385.3367762825,6829.202638422508
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,Non-infectious,,6947673.145491703,198523.2133982827,6558567.647231069,7336778.643752337,0.003874185171242508,29.06975,239000.09960497436,,225614.86243366625,252385.3367762825,6829.202638422508
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,External,,6947673.145491703,198523.2133982827,6558567.647231069,7336778.643752337,0.003874185171242508,29.06975,239000.09960497436,,225614.86243366625,252385.3367762825,6829.202638422508
Pastoral,Adult female,Adult,Female,Health Cost,Infectious,,21370312.958300564,528399.7365668772,20334649.474629484,22405976.441971645,0.0119165867239427,29.06975,735139.2068490635,,699512.3616346712,770766.0520634558,18176.961844077683
Pastoral,Adult female,Adult,Female,Health Cost,Non-infectious,,21370312.958300564,528399.7365668772,20334649.474629484,22405976.441971645,0.0119165867239427,29.06975,735139.2068490635,,699512.3616346712,770766.0520634558,18176.961844077683
Pastoral,Adult female,Adult,Female,Health Cost,External,,21370312.958300564,528399.7365668772,20334649.474629484,22405976.441971645,0.0119165867239427,29.06975,735139.2068490635,,699512.3616346712,770766.0520634558,18176.961844077683
Pastoral,Adult male,Adult,Male,Health Cost,Infectious,,6922379.367969044,169645.12697849754,6589874.919091188,7254883.816846899,0.0038600807688403053,29.06975,238129.993136131,,226691.83323183682,249568.15304042515,5835.7958695378375
Pastoral,Adult male,Adult,Male,Health Cost,Non-infectious,,6922379.367969044,169645.12697849754,6589874.919091188,7254883.816846899,0.0038600807688403053,29.06975,238129.993136131,,226691.83323183682,249568.15304042515,5835.7958695378375
Pastoral,Adult male,Adult,Male,Health Cost,External,,6922379.367969044,169645.12697849754,6589874.919091188,7254883.816846899,0.0038600807688403053,29.06975,238129.993136131,,226691.83323183682,249568.15304042515,5835.7958695378375
Pastoral,Juvenile,Juvenile,Overall,Health Cost,Infectious,,5401869.495885666,134695.9415720292,5137865.450404489,5665873.5413668435,0.0030122088733445128,29.06975,185824.42215312022,,176742.67753952096,194906.16676671949,4633.543170203707
Pastoral,Juvenile,Juvenile,Overall,Health Cost,Non-infectious,,5401869.495885666,134695.9415720292,5137865.450404489,5665873.5413668435,0.0030122088733445128,29.06975,185824.42215312022,,176742.67753952096,194906.16676671949,4633.543170203707
Pastoral,Juvenile,Juvenile,Overall,Health Cost,External,,5401869.495885666,134695.9415720292,5137865.450404489,5665873.5413668435,0.0030122088733445128,29.06975,185824.42215312022,,176742.67753952096,194906.16676671949,4633.543170203707
Pastoral,Neonate,Neonatal,Overall,Health Cost,Infectious,,6496714.988322237,217442.70651856562,6070527.283545848,6922902.693098625,0.0036227203471538164,29.06975,223487.12969056275,,208826.2638497355,238147.99553139004,7480.033592258813
Pastoral,Neonate,Neonatal,Overall,Health Cost,Non-infectious,,6496714.988322237,217442.70651856562,6070527.283545848,6922902.693098625,0.0036227203471538164,29.06975,223487.12969056275,,208826.2638497355,238147.99553139004,7480.033592258813
Pastoral,Neonate,Neonatal,Overall,Health Cost,External,,6496714.988322237,217442.70651856562,6070527.283545848,6922902.693098625,0.0036227203471538164,29.06975,223487.12969056275,,208826.2638497355,238147.99553139004,7480.033592258813
