production_system,group,age_group,sex,ahle_component,cause,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Crop livestock mixed,Adult female,Adult,Female,Mortality,External,1427213369.45719,1466790740.5088,461920350.571235,1438161146.64835,1495420334.36924,0.8179168503173502,29.06975,50457631.74808177,49096169.36702896,49472773.12836712,51442490.36779608,15890069.593692241
Crop livestock mixed,Adult female,Adult,Female,Mortality,Infectious,2943747031.61938,2955954740.65118,841192652.267231,2903818037.94255,3008091443.35981,1.648309553900915,29.06975,101684904.08934304,101264958.64668186,99891400.440064,103478407.7386221,28937044.600219507
Crop livestock mixed,Adult female,Adult,Female,Mortality,Non-infectious,1896756349.92408,1926519900.44385,575030708.128275,1890879782.8118,1962160018.0759,1.0742725908524204,29.06975,66272324.33866305,65248457.5864629,65046303.55650806,67498345.12081803,19781068.2282536
Crop livestock mixed,Adult male,Adult,Male,Mortality,External,742914319.686457,754560718.000887,433645445.014054,727683588.740766,781437847.261008,0.4207607184828565,29.06975,25956904.27337308,25556267.930974882,25032330.472080637,26881478.07466552,14917412.258930814
Crop livestock mixed,Adult male,Adult,Male,Mortality,Infectious,1422069711.24273,1436136060.60385,794564952.251949,1386889319.57894,1485382801.62876,0.8008230832632671,29.06975,49403110.12663852,48919227.41828636,47709021.21892826,51097199.03434877,27333050.757297497
Crop livestock mixed,Adult male,Adult,Male,Mortality,Non-infectious,835757683.393066,851206603.094777,480102793.448878,821450070.457261,880963135.732292,0.474652726217175,29.06975,29281524.71537516,28750081.558770407,28257899.378469404,30305150.05228088,16515546.003969006
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,1261275381.27586,1277496200.1784,423508419.751895,1251247358.70826,1303745041.64854,0.7123617837809981,29.06975,43945895.65367436,43387899.14862908,43042934.965325125,44848856.34202358,14568698.380684217
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,Infectious,2666665339.04113,2709579631.68355,847290417.977484,2657064992.48538,2762094270.88172,1.5109250261982812,29.06975,93209595.25567128,91733342.7030205,91403090.58335143,95016099.92799114,29146807.86651017
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,Non-infectious,1518143347.6502,1557130718.43392,514182889.564205,1525261918.36913,1588999518.49871,0.8682925366109668,29.06975,53565328.85332416,52224162.49366438,52469041.47332296,54661616.23332536,17687902.01374986
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,1919585861.086,1947414084.25018,476771790.512433,1917864005.51993,1976964162.98044,1.0859236768163918,29.06975,66991084.69285701,66033793.24163435,65974561.37462241,68007608.01109195,16400959.434203357
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,Infectious,5142902664.91472,5135479794.16528,975531025.171835,5075016865.83923,5195942722.49132,2.8636637402381115,29.06975,176660610.9156522,176915957.82264104,174580684.93328047,178740536.89802355,33558287.40088356
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,Non-infectious,2493151984.15937,2525037819.72407,575648993.488547,2489359381.07254,2560716258.3756,1.4080201922494409,29.06975,86861353.11531988,85764479.71377015,85634014.08930382,88088692.14133592,19802337.25740837
Pastoral,Adult female,Adult,Female,Mortality,External,1450966351.08476,1467708219.63092,494313287.701726,1437070927.61896,1498345511.64289,0.8184284581514274,29.06975,50489193.048819475,49913272.4252792,49435269.57125396,51543116.52638533,17004387.299571756
Pastoral,Adult female,Adult,Female,Mortality,Infectious,2354808008.55566,2388215218.51988,770972912.698045,2340430700.38672,2435999736.65304,1.3317247071890848,29.06975,82154652.80987555,81005444.09758116,80510864.39982182,83798441.21992931,26521484.109703217
Pastoral,Adult female,Adult,Female,Mortality,Non-infectious,1540729584.55305,1569488189.52641,522876744.215686,1537080548.66916,1601895830.38366,0.8751833517454769,29.06975,53990426.11396418,53001129.50930263,52875602.59958066,55105249.62834769,17986970.793202076
Pastoral,Adult male,Adult,Male,Mortality,External,760688009.532037,758975022.148021,495757509.09952,728248218.011264,789701826.284777,0.42322223780163415,29.06975,26108756.42714578,26167683.22851201,25051753.73063972,27165759.123651806,17054068.545464616
Pastoral,Adult male,Adult,Male,Mortality,Infectious,1039264576.08779,1040696176.26838,667482253.64816,999325957.77212,1082066394.76464,0.5803165476320625,29.06975,35799969.943614244,35750722.8678537,34376833.57346107,37223106.31376741,22961403.302338686
Pastoral,Adult male,Adult,Male,Mortality,Non-infectious,677802993.692319,689770366.231853,450762160.54842,661832351.445975,717708381.017732,0.38463210177813195,29.06975,23728114.835244644,23316436.97287796,22767046.54996947,24689183.120519854,15506227.626602225
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,916717899.318153,923090729.664626,437067154.128864,896001524.57337,950179934.755883,0.5147369977959755,29.06975,31754340.153067227,31535114.65761326,30822470.938806493,32686209.367327996,15035119.123104395
Pastoral,Juvenile,Juvenile,Overall,Mortality,Infectious,1805192525.30816,1792520088.85079,817889199.38059,1741827722.57563,1843212455.12596,0.9995511593527262,29.06975,61662728.05410401,62098660.12979679,59918909.60794744,63406546.50026093,28135405.3399355
Pastoral,Juvenile,Juvenile,Overall,Mortality,Non-infectious,873938440.778571,877635682.654777,416644153.291925,851812285.009869,903459080.299684,0.4893901996095987,29.06975,30190685.59773569,30063500.400883086,29302360.185755607,31079011.00971574,14332567.472782705
Pastoral,Neonate,Neonatal,Overall,Mortality,External,1789248511.08516,1823847694.99633,520472044.405363,1791589096.23875,1856106293.75392,1.017020165829856,29.06975,62740398.35211276,61550185.711440936,61630701.88903414,63850094.81519174,17904249.07009393
Pastoral,Neonate,Neonatal,Overall,Mortality,Infectious,3342367154.64927,3344258565.2041,854707317.447103,3291284230.26129,3397232900.1469,1.8648368555624568,29.06975,115042563.66855925,114977499.10643436,113220245.45313565,116864881.8839825,29401949.361349963
Pastoral,Neonate,Neonatal,Overall,Mortality,Non-infectious,1575730263.39393,1593197150.14945,441283857.825553,1565846595.8578,1620547704.44109,0.8884040231483848,29.06975,54806014.848749995,54205153.58384334,53865155.21660145,55746874.48089819,15180173.817303313
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,7780797856.13707,7875917253.9436,1419970368.58333,7787908195.89684,7963926311.99037,4.391795813676242,29.06975,270931716.0946895,267659606.8468793,267904202.6813729,273959229.50800645,48847009.98747254
Crop livestock mixed,Adult female,Adult,Female,Production loss,Infectious,17600813639.0354,17578266579.9971,2564455104.98066,17419322926.5336,17737210233.4606,9.802052902353802,29.06975,604692733.1675402,605468352.4638293,599225068.2077968,610160398.1272836,88217308.54171984
Crop livestock mixed,Adult female,Adult,Female,Production loss,Non-infectious,12277253800.9928,12328338145.9424,1983779214.71764,12205384495.6952,12451291796.1895,6.8745699215954055,29.06975,424095086.67747056,422337784.1568228,419865478.57120204,428324694.7837357,68242045.93151438
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,1276217768.20067,1265625245.14081,560720618.468552,1230872059.75705,1300378430.52456,0.705742261386661,29.06975,43537534.5553646,43901917.56725359,42342024.260857075,44733044.84987178,19288800.8485987
Crop livestock mixed,Adult male,Adult,Male,Production loss,Infectious,2727439334.3193,2672179464.37731,1148903413.25237,2600971001.56415,2743387927.19046,1.4900698174765172,29.06975,91923028.7283967,93823969.39496556,89473456.13788044,94372601.31891263,39522301.12926221
Crop livestock mixed,Adult male,Adult,Male,Production loss,Non-infectious,1874487746.51847,1846899264.80294,808551073.51219,1796785670.9302,1897012858.67567,1.0298742607258689,29.06975,63533372.82924483,64482417.16968568,61809464.16567738,65257281.49281194,27814173.617323507
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,183020375.647363,187935402.612256,512682254.773021,156159611.146354,219711194.078158,0.10479717953115705,29.06975,6464981.728850643,6295904.699812108,5371893.846570886,7558069.6111304015,17636280.14596001
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,Infectious,464456957.294317,433863437.343885,1179862390.12306,360736152.523759,506990722.164011,0.2419324081750572,29.06975,14924911.199576365,15977328.917321855,12409331.092415966,17440491.306736764,40587290.57260761
Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,Non-infectious,281406134.248051,265362711.507919,736135284.806444,219737412.245205,310988010.770633,0.14797245932500255,29.06975,9128482.752962066,9680376.82635905,7558971.516617962,10697993.989306169,25323068.991183072
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,108982457.38812,123252936.977875,500156423.950962,92253490.2838735,154252383.671878,0.06872872266042339,29.06975,4239903.575981045,3748998.783550598,3173521.9698784305,5306285.182083713,17205391.30714788
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,Infectious,233999560.700304,264511708.220224,1114444225.51926,195439008.74449,333584407.695958,0.14749791997221132,29.06975,9099208.22230064,8049589.717844289,6723105.934674017,11475310.509927262,38336904.360005155
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,Non-infectious,139699608.266357,155130239.433495,643852431.436511,115224585.579338,195035893.287651,0.08650425266688501,29.06975,5336483.43840229,4805669.407764326,3963728.1221661004,6709238.754638447,22148536.930538137
Pastoral,Adult female,Adult,Female,Production loss,External,11278565492.3146,11330835493.2815,1723624343.89159,11224006112.6912,11437664873.8719,6.3183390937647115,29.06975,389780974.8374685,387982885.72535366,386106041.9402025,393455907.73473805,59292713.005498506
Pastoral,Adult female,Adult,Female,Production loss,Infectious,18363662993.583,18417842691.2246,2257600987.03528,18277917703.5556,18557767678.8936,10.270220194068969,29.06975,633574168.7226275,631710386.0054868,628760746.2587603,638387591.1864946,77661520.55092597
Pastoral,Adult female,Adult,Female,Production loss,Non-infectious,11732820360.2558,11758996234.2758,1765404420.80264,11649577345.2736,11868415123.278,6.5570915449713,29.06975,404509713.16491544,403609262.55835706,400745701.1248325,408273725.2049983,60729948.51357992
Pastoral,Adult male,Adult,Male,Production loss,External,5633427840.40829,5677890813.92115,1002784034.22317,5615738757.63256,5740042870.20973,3.1661248211570236,29.06975,195319561.1906243,193790033.98406556,193181529.17147756,197457593.20977065,34495791.474751934
Pastoral,Adult male,Adult,Male,Production loss,Infectious,7924955011.54813,8025971807.58533,1230932038.24395,7949679251.34451,8102264363.82614,4.475469745138235,29.06975,276093595.8370929,272618615.9684253,273469130.32772934,278718061.34645605,42344087.52204439
Pastoral,Adult male,Adult,Male,Production loss,Non-infectious,5428669643.46958,5484975748.51541,931886804.467947,5427217867.30747,5542733629.72335,3.0585508650924425,29.06975,188683278.9588975,186746347.7831622,186696406.65322098,190670151.264574,32056925.307852563
Pastoral,Juvenile,Juvenile,Overall,Production loss,External,4454883234.19418,4493083419.74473,842308722.820866,4440877543.53761,4545289295.95184,2.5054484851847003,29.06975,154562162.37651613,153248075.2051249,152766279.1574613,156358045.59557068,28975437.45030026
Pastoral,Juvenile,Juvenile,Overall,Production loss,Infectious,8045373515.48433,8054107328.10889,1247473352.99905,7976789549.39678,8131425106.821,4.491158769954881,29.06975,277061458.3238208,276761014.98927,274401725.1402843,279721191.5073573,42913109.09103277
Pastoral,Juvenile,Juvenile,Overall,Production loss,Non-infectious,4688158924.21414,4711327399.93801,821860830.403396,4660388873.94503,4762265925.93098,2.627146437012846,29.06975,162069759.79972345,161272763.75662467,160317473.45419312,163822046.1452534,28272029.52909454
Pastoral,Neonate,Neonatal,Overall,Production loss,External,3267281453.17208,3295112424.63115,763951390.664044,3247763096.94558,3342461752.31672,1.837431817207267,29.06975,113351935.41847281,112394549.42584921,111723117.5687985,114980753.26814713,26279943.606809277
Pastoral,Neonate,Neonatal,Overall,Production loss,Infectious,6621077420.47552,6645857626.47773,1312501865.67687,6564509412.85404,6727205840.10143,3.7058857731953303,29.06975,228617639.52141762,227765199.92347786,225819259.29373455,231416019.74910104,45150091.2693391
Pastoral,Neonate,Neonatal,Overall,Production loss,Non-infectious,3357657266.71045,3390108865.58674,740326158.836239,3344223818.03356,3435993913.13993,1.890404056281262,29.06975,116619814.94807284,115503479.27692705,115041368.36517549,118198261.53097051,25467235.144307707
Crop livestock mixed,Adult female,Adult,Female,Health Cost,Infectious,,21318317.914009903,527685.6704766586,20284053.999875654,22352581.82814415,0.011887593070189764,29.06975,733350.5762522864,,697771.8762588482,768929.2762457246,18152.39795583583
Crop livestock mixed,Adult female,Adult,Female,Health Cost,Non-infectious,,21318317.914009903,527685.6704766586,20284053.999875654,22352581.82814415,0.011887593070189764,29.06975,733350.5762522864,,697771.8762588482,768929.2762457246,18152.39795583583
Crop livestock mixed,Adult female,Adult,Female,Health Cost,External,,21318317.914009903,527685.6704766586,20284053.999875654,22352581.82814415,0.011887593070189764,29.06975,733350.5762522864,,697771.8762588482,768929.2762457246,18152.39795583583
Crop livestock mixed,Adult male,Adult,Male,Health Cost,Infectious,,4962332.160787524,128649.33513153445,4710179.4639297165,5214484.857645331,0.002767112566971833,29.06975,170704.32875368808,,162030.27077734473,179378.38673003143,4425.539783848655
Crop livestock mixed,Adult male,Adult,Male,Health Cost,Non-infectious,,4962332.160787524,128649.33513153445,4710179.4639297165,5214484.857645331,0.002767112566971833,29.06975,170704.32875368808,,162030.27077734473,179378.38673003143,4425.539783848655
Crop livestock mixed,Adult male,Adult,Male,Health Cost,External,,4962332.160787524,128649.33513153445,4710179.4639297165,5214484.857645331,0.002767112566971833,29.06975,170704.32875368808,,162030.27077734473,179378.38673003143,4425.539783848655
