"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Mortality","Crop livestock mixed","Adult female","External",1427213369.45719,1466790740.5088,461920350.571235,1438161146.64835,1495420334.36924
"Mortality","Crop livestock mixed","Adult female","Infectious",2943747031.61938,2955954740.65118,841192652.267231,2903818037.94255,3008091443.35981
"Mortality","Crop livestock mixed","Adult female","Non-infectious",1896756349.92408,1926519900.44385,575030708.128275,1890879782.8118,1962160018.0759
"Mortality","Crop livestock mixed","Adult male","External",742914319.686457,754560718.000887,433645445.014054,727683588.740766,781437847.261008
"Mortality","Crop livestock mixed","Adult male","Infectious",1422069711.24273,1436136060.60385,794564952.251949,1386889319.57894,1485382801.62876
"Mortality","Crop livestock mixed","Adult male","Non-infectious",835757683.393066,851206603.094777,480102793.448878,821450070.457261,880963135.732292
"Mortality","Crop livestock mixed","Juvenile","External",1261275381.27586,1277496200.1784,423508419.751895,1251247358.70826,1303745041.64854
"Mortality","Crop livestock mixed","Juvenile","Infectious",2666665339.04113,2709579631.68355,847290417.977484,2657064992.48538,2762094270.88172
"Mortality","Crop livestock mixed","Juvenile","Non-infectious",1518143347.6502,1557130718.43392,514182889.564205,1525261918.36913,1588999518.49871
"Mortality","Crop livestock mixed","Neonate","External",1919585861.086,1947414084.25018,476771790.512433,1917864005.51993,1976964162.98044
"Mortality","Crop livestock mixed","Neonate","Infectious",5142902664.91472,5135479794.16528,975531025.171835,5075016865.83923,5195942722.49132
"Mortality","Crop livestock mixed","Neonate","Non-infectious",2493151984.15937,2525037819.72407,575648993.488547,2489359381.07254,2560716258.3756
"Mortality","Pastoral","Adult female","External",1450966351.08476,1467708219.63092,494313287.701726,1437070927.61896,1498345511.64289
"Mortality","Pastoral","Adult female","Infectious",2354808008.55566,2388215218.51988,770972912.698045,2340430700.38672,2435999736.65304
"Mortality","Pastoral","Adult female","Non-infectious",1540729584.55305,1569488189.52641,522876744.215686,1537080548.66916,1601895830.38366
"Mortality","Pastoral","Adult male","External",760688009.532037,758975022.148021,495757509.09952,728248218.011264,789701826.284777
"Mortality","Pastoral","Adult male","Infectious",1039264576.08779,1040696176.26838,667482253.64816,999325957.77212,1082066394.76464
"Mortality","Pastoral","Adult male","Non-infectious",677802993.692319,689770366.231853,450762160.54842,661832351.445975,717708381.017732
"Mortality","Pastoral","Juvenile","External",916717899.318153,923090729.664626,437067154.128864,896001524.57337,950179934.755883
"Mortality","Pastoral","Juvenile","Infectious",1805192525.30816,1792520088.85079,817889199.38059,1741827722.57563,1843212455.12596
"Mortality","Pastoral","Juvenile","Non-infectious",873938440.778571,877635682.654777,416644153.291925,851812285.009869,903459080.299684
"Mortality","Pastoral","Neonate","External",1789248511.08516,1823847694.99633,520472044.405363,1791589096.23875,1856106293.75392
"Mortality","Pastoral","Neonate","Infectious",3342367154.64927,3344258565.2041,854707317.447103,3291284230.26129,3397232900.1469
"Mortality","Pastoral","Neonate","Non-infectious",1575730263.39393,1593197150.14945,441283857.825553,1565846595.8578,1620547704.44109
"Production loss","Crop livestock mixed","Adult female","External",7780797856.13707,7875917253.9436,1419970368.58333,7787908195.89684,7963926311.99037
"Production loss","Crop livestock mixed","Adult female","Infectious",17600813639.0354,17578266579.9971,2564455104.98066,17419322926.5336,17737210233.4606
"Production loss","Crop livestock mixed","Adult female","Non-infectious",12277253800.9928,12328338145.9424,1983779214.71764,12205384495.6952,12451291796.1895
"Production loss","Crop livestock mixed","Adult male","External",1276217768.20067,1265625245.14081,560720618.468552,1230872059.75705,1300378430.52456
"Production loss","Crop livestock mixed","Adult male","Infectious",2727439334.3193,2672179464.37731,1148903413.25237,2600971001.56415,2743387927.19046
"Production loss","Crop livestock mixed","Adult male","Non-infectious",1874487746.51847,1846899264.80294,808551073.51219,1796785670.9302,1897012858.67567
"Production loss","Crop livestock mixed","Juvenile","External",183020375.647363,187935402.612256,512682254.773021,156159611.146354,219711194.078158
"Production loss","Crop livestock mixed","Juvenile","Infectious",464456957.294317,433863437.343885,1179862390.12306,360736152.523759,506990722.164011
"Production loss","Crop livestock mixed","Juvenile","Non-infectious",281406134.248051,265362711.507919,736135284.806444,219737412.245205,310988010.770633
"Production loss","Crop livestock mixed","Neonate","External",108982457.38812,123252936.977875,500156423.950962,92253490.2838735,154252383.671878
"Production loss","Crop livestock mixed","Neonate","Infectious",233999560.700304,264511708.220224,1114444225.51926,195439008.74449,333584407.695958
"Production loss","Crop livestock mixed","Neonate","Non-infectious",139699608.266357,155130239.433495,643852431.436511,115224585.579338,195035893.287651
"Production loss","Pastoral","Adult female","External",11278565492.3146,11330835493.2815,1723624343.89159,11224006112.6912,11437664873.8719
"Production loss","Pastoral","Adult female","Infectious",18363662993.583,18417842691.2246,2257600987.03528,18277917703.5556,18557767678.8936
"Production loss","Pastoral","Adult female","Non-infectious",11732820360.2558,11758996234.2758,1765404420.80264,11649577345.2736,11868415123.278
"Production loss","Pastoral","Adult male","External",5633427840.40829,5677890813.92115,1002784034.22317,5615738757.63256,5740042870.20973
"Production loss","Pastoral","Adult male","Infectious",7924955011.54813,8025971807.58533,1230932038.24395,7949679251.34451,8102264363.82614
"Production loss","Pastoral","Adult male","Non-infectious",5428669643.46958,5484975748.51541,931886804.467947,5427217867.30747,5542733629.72335
"Production loss","Pastoral","Juvenile","External",4454883234.19418,4493083419.74473,842308722.820866,4440877543.53761,4545289295.95184
"Production loss","Pastoral","Juvenile","Infectious",8045373515.48433,8054107328.10889,1247473352.99905,7976789549.39678,8131425106.821
"Production loss","Pastoral","Juvenile","Non-infectious",4688158924.21414,4711327399.93801,821860830.403396,4660388873.94503,4762265925.93098
"Production loss","Pastoral","Neonate","External",3267281453.17208,3295112424.63115,763951390.664044,3247763096.94558,3342461752.31672
"Production loss","Pastoral","Neonate","Infectious",6621077420.47552,6645857626.47773,1312501865.67687,6564509412.85404,6727205840.10143
"Production loss","Pastoral","Neonate","Non-infectious",3357657266.71045,3390108865.58674,740326158.836239,3344223818.03356,3435993913.13993
